zfa_id,name,tier,tier_prefloor,usefulness_score,cell_slim,has_cl,cell_identity,ic,credited_genes,direct_genes,n_children,n_is_a_parents,n_part_of_parents,is_leaf,obsolete,in_stoplist,admin_container,structural_container,pure_grouper,curated,on_discernible_step,flags
ZFA:0005515,caudal fin principal ray 4,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005516,caudal fin principal ray 5,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005517,caudal fin principal ray 6,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005518,caudal fin principal ray 7,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005519,caudal fin principal ray 8,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005520,caudal fin principal ray 9,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005521,caudal fin principal ray 10,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005522,caudal fin principal ray 11,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005523,caudal fin principal ray 12,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005524,caudal fin principal ray 14,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005525,caudal fin principal ray 15,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005526,caudal fin principal ray 16,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005527,caudal fin principal ray 17,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005528,caudal fin principal ray 18,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005529,caudal fin principal ray 19,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005530,lateral line scale,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
